"VIN","make","model","model_year","fuel_type","GVWR"
"jn1cv6ar9bm357061","INFINITI","G37","2011","Gasoline",""
"jn1cv6ar0bm412352","INFINITI","G37","2011","Gasoline",""
"jn1cv6ar6bm355042","INFINITI","G37","2011","Gasoline",""
"jn1cv6ar7bm355468","INFINITI","G37","2011","Gasoline",""
"jthbf5c29b5136360","LEXUS","IS","2011","Gasoline",""
"jthbk1eg6b2467072","LEXUS","ES","2011","Gasoline",""
"2t2zk1ba1bc048477","LEXUS","RX","2011","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"wmwsv3c58bty11336","MINI","Hardtop","2011","Gasoline","Class 1: 6,000 lb or less (2,722 kg or less)"
"4m2cn8b76bkj06302","MERCURY","Mariner","2011","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"1g1zb5eb2af314619","CHEVROLET","Malibu","2010","Gasoline",""
"1d7rv1gp2as142380","DODGE","Ram","2010","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1ftww3br3aea07826","FORD","F-350","2010","Diesel","Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)"
"1d7rb1gtxas249750","DODGE","Ram","2010","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"3d7jv1et4ag177197","DODGE","Ram","2010","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1d7rv1gtxas102366","DODGE","Ram","2010","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1ftsw2br5aeb15129","FORD","F-250","2010","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"kmhdb8ae7au066765","HYUNDAI","Elantra Touring","2010","Gasoline",""
"5n3za0ne6an906993","INFINITI","QX56","2010","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"kmhhu6kh6au004587","HYUNDAI","Genesis Coupe","2010","Gasoline",""
"jtjjm7fx2a5006406","LEXUS","GX","2010","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"jthbk1eg3a2365159","LEXUS","ES","2010","Gasoline",""
"2t2zk1baxac040893","LEXUS","RX","2010","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"2c4rc1bg7er351208","CHRYSLER","Town and Country","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2a8hr44e19r637819","CHRYSLER","Town and Country","2009","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1d3hb18p69s772449","DODGE","Ram","2009","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1d3hb18p79s731425","DODGE","Ram","2009","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1ftns24l19da10512","FORD","E-250","2009","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ftns24l19da80205","FORD","E-250","2009","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"5n3aa08c99n901130","INFINITI","QX56","2009","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"jn8az28rx9t104021","NISSAN","Cube","2009","Gasoline","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)"
"2c4rc1cg8er215121","CHRYSLER","Town and Country","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2c4rc1cgxer179982","CHRYSLER","Town and Country","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2g4wd582881174203","BUICK","LaCrosse","2008","Gasoline",""
"2a8hr64x38r149709","CHRYSLER","Town and Country","2008","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
